p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
7.74301640531596e-101	6.23424614115035	0.354	0.022	1.43330976678804e-96	tumor	PTGR1
1.17673206553855e-133	6.16478250440749	0.408	0.007	2.17824872651841e-129	tumor	CLDN7
3.80940966433536e-60	6.14413806466214	0.187	0	7.05159822965118e-56	tumor	PRAC2
1.63193210842351e-56	6.12626956654664	0.195	0.007	3.02086952590276e-52	tumor	PRSS8
1.44172158084492e-236	6.07791048216317	0.721	0.064	2.66877081830204e-232	tumor	SORD
1.92951711667997e-68	6.04158778193159	0.215	0.001	3.57172913468629e-64	tumor	CT45A1
3.83798077052622e-89	6.03334124777858	0.276	0.002	7.10448620432108e-85	tumor	TMPRSS2
1.71413457671637e-52	5.99513837361715	0.184	0.007	3.17303451495967e-48	tumor	ASS1
2.7493365583216e-63	5.99043714466863	0.22	0.009	5.08929690310911e-59	tumor	SYNE4
7.86267326395335e-191	5.97884523505809	0.59	0.033	1.45545944789041e-186	tumor	AMACR
4.43674025170801e-152	5.97276059370848	0.483	0.021	8.21284987993669e-148	tumor	CCND1
1.2521292002402e-37	5.96144345368246	0.127	0.003	2.31781636256463e-33	tumor	MS4A8
7.49845447109471e-64	5.95994661031316	0.245	0.019	1.38803890714434e-59	tumor	KRT19
2.21144154507865e-64	5.95393418007797	0.206	0.002	4.09359944409509e-60	tumor	CKMT1B
3.19234599869139e-67	5.95191149563635	0.212	0.001	5.90935167817763e-63	tumor	CKMT1A
5.83320656048423e-73	5.88147381256469	0.242	0.006	1.07978486641124e-68	tumor	TFF3
1.49051870446452e-162	5.84323110909414	0.533	0.038	2.75909917383427e-158	tumor	GPR160
2.89578721483323e-72	5.76101322126796	0.285	0.026	5.3603917133778e-68	tumor	TMC5
1.13417414022106e-133	5.7137016042239	0.45	0.028	2.0994697509632e-129	tumor	CREB3L4
1.07335197768195e-223	5.70519792076423	0.696	0.063	1.98688184588706e-219	tumor	PYCR1
1.94418341144518e-50	5.69346571780239	0.175	0.006	3.59887791292618e-46	tumor	DNALI1
5.73616745071842e-137	5.69213125041156	0.455	0.026	1.06182195680249e-132	tumor	PHGDH
4.20830928168977e-209	5.6779484427349	0.583	0.007	7.79000131133593e-205	tumor	STEAP2
3.70632073056017e-46	5.6659351462761	0.153	0.003	6.86077030433992e-42	tumor	TMEM125
3.1623886124687e-143	5.61414206770313	0.461	0.021	5.8538975605408e-139	tumor	BAIAP2
1.36829620479788e-116	5.60919529512699	0.423	0.037	2.53285310470136e-112	tumor	NEDD4L
1.1778145976144e-63	5.60631065388358	0.203	0.002	2.18025260164402e-59	tumor	GJB1
2.25496849424461e-87	5.54301740013216	0.292	0.01	4.17417217969621e-83	tumor	RHPN2
1.80113749607662e-88	5.54065760122678	0.31	0.017	3.33408561898743e-84	tumor	TOM1L1
6.84257272921015e-61	5.51927977995854	0.221	0.012	1.26662863790409e-56	tumor	REEP6
2.40829053834708e-57	5.51647060870305	0.178	0	4.45798661553428e-53	tumor	CT45A6
3.59056156793383e-170	5.48623672579282	0.512	0.014	6.64648851840232e-166	tumor	PFN2
4.18449882149489e-185	5.48394057711865	0.621	0.061	7.74592576846919e-181	tumor	FASN
1.35990072726945e-48	5.45820256907331	0.165	0.004	2.51731223624849e-44	tumor	KLHDC9
1.92124748031405e-129	5.45586753368898	0.461	0.04	3.55642121080934e-125	tumor	PLPP1
1.34871787855593e-53	5.41597459331138	0.209	0.016	2.49661166499487e-49	tumor	CAPN5
1.33164500323334e-61	5.39704070178279	0.227	0.013	2.46500806548523e-57	tumor	KRTCAP3
3.30847636316444e-161	5.39025889549229	0.477	0.008	6.12432059585369e-157	tumor	GRHL2
4.02838021711324e-126	5.38829043181118	0.382	0.004	7.45693461989832e-122	tumor	IRF6
1.78339235386048e-90	5.38556665906421	0.291	0.006	3.30123758623113e-86	tumor	MAOA
6.67801969136602e-33	5.36721120270573	0.103	0	1.23616822506876e-28	tumor	AGR3
3.37157303366838e-42	5.32400752128735	0.15	0.006	6.24111884262354e-38	tumor	TPD52L1
1.81067092448191e-137	5.28632497988337	0.408	0.004	3.35173294830846e-133	tumor	ESRP1
2.97848155852274e-114	5.28272950294458	0.344	0.002	5.51346721298144e-110	tumor	CPNE4
6.40441209135318e-47	5.27733868704162	0.156	0.003	1.18552072223039e-42	tumor	SYBU
2.56636535165933e-102	5.25902354020897	0.337	0.012	4.75059890245659e-98	tumor	GUCY1A1
5.60970975261853e-40	5.25372970174092	0.145	0.007	1.03841337230722e-35	tumor	TLCD1
4.86715490718147e-108	5.24824044046363	0.373	0.021	9.00959044868362e-104	tumor	AK4
1.42846904547762e-45	5.17876420002497	0.145	0.001	2.64423905008363e-41	tumor	DLX1
6.63690704425746e-72	5.14045408284482	0.289	0.028	1.2285578629625e-67	tumor	NUDT8
7.7802085082364e-29	5.06732640008453	0.146	0.023	1.44019439695964e-24	tumor	ALDH3B2
2.12903582841843e-50	5.05099962636609	0.289	0.066	3.94105822198535e-46	tumor	ARG2
2.11906771738615e-46	5.04548655399892	0.16	0.005	3.9226062516535e-42	tumor	C1orf210
6.19208376060058e-227	5.02733412467715	0.685	0.04	1.14621662492477e-222	tumor	BEX3
3.22226241869125e-38	5.02018950520373	0.12	0	5.96472996323936e-34	tumor	TMSB15A
4.98000685387797e-65	5.01809142697142	0.228	0.01	9.21849068721351e-61	tumor	TMC4
1.04025170366564e-40	5.01168084756887	0.136	0.003	1.92560992865547e-36	tumor	RAB17
4.17904358373179e-36	5.00193010057934	0.124	0.004	7.73582757784592e-32	tumor	ASPHD1
4.69189740370155e-42	4.99447310831482	0.132	0	8.68517128399194e-38	tumor	CT45A10
2.98681473575073e-92	4.99154637927269	0.336	0.023	5.52889275734817e-88	tumor	ETV1
8.12054637257761e-121	4.98396203532976	0.395	0.015	1.50319433902784e-116	tumor	TCEAL9
5.00860764021253e-103	4.97748795984597	0.383	0.031	9.27143360279741e-99	tumor	ACPP
4.96188906548416e-49	4.96282172511926	0.164	0.004	9.18495284911773e-45	tumor	EEF1A2
2.81750241521363e-87	4.95250003374211	0.299	0.013	5.21547872080196e-83	tumor	STAP2
2.46686710198126e-85	4.93534269973424	0.267	0.002	4.5664176924775e-81	tumor	EHF
9.05531128657879e-90	4.93364227504654	0.346	0.031	1.6762286722586e-85	tumor	RAB4A
2.53235051365259e-36	4.90417157239059	0.116	0.001	4.68763403582231e-32	tumor	CBLC
7.10474847407073e-36	4.85995693597211	0.189	0.031	1.31515999003523e-31	tumor	ORM1
7.19545791544529e-141	4.85138732882933	0.462	0.023	1.33195121472808e-136	tumor	PRXL2A
7.96248722201686e-89	4.84972427425432	0.292	0.008	1.47393600966754e-84	tumor	CBS
3.83317080522447e-53	4.84174392117944	0.23	0.026	7.09558247755101e-49	tumor	FGF13
6.52486419043752e-51	4.84001112146828	0.169	0.003	1.20781761029189e-46	tumor	LRRC26
9.66036255404418e-45	4.80709174517934	0.169	0.01	1.78822971237912e-40	tumor	PTK6
3.76337119349237e-145	4.76509601277859	0.487	0.032	6.96637641627372e-141	tumor	EPCAM
2.66955529701073e-29	4.76202330006821	0.109	0.006	4.94161381029657e-25	tumor	FAM3B
6.36370494602766e-52	4.75463526927906	0.209	0.018	1.17798542255918e-47	tumor	SLC25A10
1.23123404698947e-50	4.7395014128046	0.177	0.007	2.27913734438221e-46	tumor	CHMP4C
2.78221986872393e-63	4.73516253369097	0.222	0.009	5.15016719899486e-59	tumor	CD177
1.22959064012852e-34	4.73356248403784	0.127	0.006	2.27609523394189e-30	tumor	PCSK1N
2.99688010291634e-146	4.73142494723286	0.469	0.019	5.54752475850844e-142	tumor	TCEA3
3.35673465179888e-36	4.66325982043911	0.138	0.008	6.2136515139449e-32	tumor	UPK3A
1.4029950502943e-36	4.65383697373981	0.187	0.03	2.59708413759979e-32	tumor	OAZ3
6.40067652993542e-36	4.60812747173194	0.115	0.001	1.18482923245635e-31	tumor	ERICH5
1.65674518989604e-93	4.59812430167363	0.313	0.011	3.06680102101657e-89	tumor	MLPH
9.76047998630058e-217	4.5884461458707	0.78	0.17	1.8067624502641e-212	tumor	H2AFJ
1.29465909512474e-45	4.58238222431196	0.19	0.018	2.3965434509854e-41	tumor	CAB39L
2.49517797835641e-20	4.57959631148118	0.109	0.019	4.61882395573555e-16	tumor	PLPP2
1.40049595638059e-168	4.56268165002268	0.584	0.055	2.5924580648561e-164	tumor	TM7SF2
1.4873996009867e-35	4.55427663072445	0.129	0.006	2.75332540138647e-31	tumor	OPLAH
6.08967945830886e-32	4.54162200911667	0.114	0.004	1.12726056452755e-27	tumor	CCDC74A
5.00484394253333e-67	4.50552267041102	0.457	0.154	9.26446662202345e-63	tumor	MON1B
2.36524552894232e-52	4.50068380376884	0.231	0.028	4.37830599862514e-48	tumor	HIST1H3H
1.03461015429307e-60	4.49019003269236	0.195	0.002	1.91516685661191e-56	tumor	CT45A9
1.7348128658431e-226	4.48322257266262	0.803	0.163	3.21131209596217e-222	tumor	HIST2H2AA4
3.85088181651926e-69	4.46425655626585	0.251	0.014	7.1283673305588e-65	tumor	GNG4
1.78166797531281e-28	4.45057736625584	0.116	0.01	3.29804558910155e-24	tumor	MUC3A
2.70526615395124e-30	4.40860862651489	0.106	0.004	5.00771817757913e-26	tumor	CCDC74B
4.12164448318844e-85	4.40682015062783	0.263	0.001	7.62957610283013e-81	tumor	FOXA1
4.43183751681712e-44	4.39508711042765	0.212	0.03	8.20377442738017e-40	tumor	TACSTD2
4.60121770691612e-101	4.38386079341736	0.31	0.002	8.51731409727243e-97	tumor	SYT7
4.32900330870717e-210	4.37630240193112	0.764	0.154	8.01341802474784e-206	tumor	C19orf48
8.4225906824905e-34	4.37055996769458	0.164	0.023	1.55910576123582e-29	tumor	ACSM1
2.08566614516203e-38	4.35437595289757	0.184	0.025	3.86077660130943e-34	tumor	TUBB2B
2.53922117103724e-124	4.3474114936738	0.378	0.005	4.70035230970703e-120	tumor	SFN
5.15184950482825e-52	4.34129022930886	0.231	0.028	9.53658861838757e-48	tumor	HIST1H4H
1.6602463469482e-65	4.32825646000812	0.227	0.009	3.07328201283582e-61	tumor	BAIAP2L1
8.4254251196177e-46	4.32382744476862	0.16	0.006	1.55963044389243e-41	tumor	GABRB3
6.81049560998383e-58	4.28788853700944	0.27	0.038	1.26069084236411e-53	tumor	EIF4EBP3
1.04431712491679e-63	4.28195690889718	0.258	0.024	1.93313542993347e-59	tumor	ARHGEF38
1.81117582850174e-26	4.2782295673111	0.106	0.008	3.35266757613956e-22	tumor	F12
7.1054531905031e-38	4.27261049691129	0.136	0.006	1.31529044009403e-33	tumor	NECTIN2
2.02674859228899e-33	4.24099824867917	0.116	0.004	3.75171431918616e-29	tumor	ASAP3
5.69192574522641e-34	4.23985099018968	0.126	0.007	1.05363237469886e-29	tumor	SRARP
7.8802288987275e-30	4.23723785489636	0.156	0.025	1.45870917144345e-25	tumor	ORM2
3.85323509292487e-78	4.22970154765702	0.531	0.195	7.13272348051322e-74	tumor	GLRX2
5.35466250431964e-38	4.210851771028	0.224	0.048	9.91201576174609e-34	tumor	LRTOMT
1.82334395506674e-75	4.20208297600723	0.295	0.025	3.37519199522405e-71	tumor	DHCR24
2.44783696921301e-52	4.19944578619581	0.188	0.009	4.53119101371021e-48	tumor	LUZP2
3.60469330649386e-42	4.19471445941445	0.156	0.008	6.67264777965079e-38	tumor	CLGN
2.55961863522605e-65	4.18634014709424	0.262	0.024	4.73811005566694e-61	tumor	CXADR
2.08441897512216e-26	4.17206450171917	0.108	0.009	3.85846796484862e-22	tumor	PEX11A
4.09119661793751e-49	4.15233151460046	0.165	0.004	7.57321405946412e-45	tumor	PKP3
3.72080335081569e-39	4.13167345038765	0.145	0.007	6.88757908269492e-35	tumor	C6orf132
8.47234613200668e-60	4.12120112550289	0.188	0.001	1.56831599249576e-55	tumor	MAL2
3.93297869046108e-33	4.11814764434622	0.17	0.027	7.2803368539125e-29	tumor	CRACR2B
5.99372419330667e-38	4.10155399314371	0.135	0.005	1.109498285423e-33	tumor	CRB3
1.01504337741287e-55	4.07331188926663	0.191	0.006	1.87894679592896e-51	tumor	TRIM36
1.43114429979784e-56	4.0680818969086	0.228	0.019	2.64919121335578e-52	tumor	SPINT1
8.59082546755279e-170	4.06462866565803	0.687	0.141	1.5902477022987e-165	tumor	FAM162A
7.33552397945276e-29	4.06396101029902	0.102	0.004	1.3578788438365e-24	tumor	CDH26
3.92157811653414e-72	4.05514470932232	0.233	0.004	7.25923325151635e-68	tumor	SEZ6L2
2.95145224746799e-98	4.04819609911227	0.422	0.061	5.463433255288e-94	tumor	CRAT
2.7709699793815e-156	4.03935916950541	0.561	0.057	5.1293425288331e-152	tumor	UGDH
5.74821226608188e-20	4.037699111455	0.105	0.017	1.06405157257442e-15	tumor	RNASE4
1.40318059322137e-153	4.02969482016517	0.572	0.07	2.59742759611208e-149	tumor	SLC25A4
8.57930034502542e-48	4.0017006793309	0.175	0.009	1.58811428686766e-43	tumor	IQANK1
4.29614214836385e-34	4.00055470402483	0.133	0.009	7.95258873083632e-30	tumor	MLF1
2.34793580933332e-57	3.98500943485251	0.194	0.005	4.34626397665692e-53	tumor	WNK2
5.48900462332112e-30	3.98354157354819	0.116	0.007	1.01606964582297e-25	tumor	TUBB3
9.565979081636e-14	3.93398274846943	0.123	0.041	1.77075838780164e-09	tumor	LRMDA
6.30585702173195e-83	3.91226617161669	0.276	0.008	1.1672771932928e-78	tumor	DSP
1.03621043534173e-26	3.91210907738616	0.135	0.02	1.91812913686107e-22	tumor	BEX1
6.16249143689086e-147	3.8903328211714	0.604	0.103	1.14073878988287e-142	tumor	IFT57
1.61891843437658e-118	3.87703280609177	0.396	0.022	2.99677991387448e-114	tumor	RAB3B
1.2389586307434e-46	3.86952108525272	0.164	0.006	2.2934363213691e-42	tumor	KDF1
1.57970253189549e-37	3.86709442297184	0.157	0.014	2.92418735679174e-33	tumor	ERBB3
7.74906352081204e-68	3.8623868937052	0.209	0	1.43442914833752e-63	tumor	TBX3
7.1586783041702e-48	3.86131942204494	0.195	0.016	1.32514294088494e-43	tumor	CNFN
1.1387463436038e-55	3.85439170829131	0.208	0.013	2.10793335664499e-51	tumor	KIAA1522
1.36555673554602e-33	3.82086542477538	0.133	0.01	2.52778207316925e-29	tumor	CHDH
9.53274040069191e-82	3.78343105873726	0.384	0.062	1.76460557557208e-77	tumor	RUSC1
3.02079838895445e-104	3.77484946745299	0.461	0.072	5.59179989779359e-100	tumor	SLC39A6
2.87953084119363e-49	3.77411318050252	0.196	0.016	5.33029954013354e-45	tumor	DNAH8
4.32308966949406e-37	3.76515183607279	0.139	0.007	8.00247128720045e-33	tumor	HDAC11
3.20501342431376e-207	3.75027368540249	0.781	0.151	5.9328003497472e-203	tumor	TPD52
3.71412647691833e-28	3.72496654226649	0.151	0.025	6.87521952142353e-24	tumor	HIST1H2BG
5.01353135973381e-100	3.71190837153121	0.511	0.123	9.28054790000325e-96	tumor	STARD3NL
7.8781135231803e-50	3.69423719191132	0.156	0	1.45831759427591e-45	tumor	VSTM2L
1.39564576668181e-117	3.67223349820709	0.49	0.067	2.5834798787047e-113	tumor	HIST3H2A
2.53415060514571e-62	3.66537672594668	0.311	0.052	4.69096618518522e-58	tumor	CETN2
4.40934943734644e-58	3.66443700358066	0.221	0.014	8.16214674347199e-54	tumor	DDR1
5.92236661372128e-60	3.65790733983543	0.233	0.017	1.09628928386595e-55	tumor	SLC4A4
5.1252340539494e-121	3.64962367639669	0.575	0.136	9.48732075726574e-117	tumor	TMEM141
7.95636192095672e-79	3.63096332069462	0.406	0.086	1.4728021551883e-74	tumor	H2BFS
1.50067318899193e-107	3.62568566259678	0.413	0.038	2.77789614014297e-103	tumor	HIST2H2BE
3.24445131530369e-81	3.61587863618902	0.389	0.065	6.00580382975866e-77	tumor	PHYH
4.50024505873717e-140	3.60736847217045	0.547	0.065	8.33040362822837e-136	tumor	TCEAL4
4.75691944191018e-156	3.60049100372203	0.47	0.011	8.80553357891993e-152	tumor	ARFGEF3
6.104831446003e-27	3.59273350549968	0.102	0.006	1.13006534896962e-22	tumor	SIX5
6.33523741222776e-134	3.59177404556239	0.585	0.115	1.17271579737748e-129	tumor	CYB5A
4.36427667518262e-48	3.58316882574619	0.17	0.007	8.07871255343055e-44	tumor	UGT2B17
1.42545749238131e-37	3.57431530617984	0.208	0.039	2.63866436414705e-33	tumor	PPP1R16A
1.45026713917527e-160	3.57403826277607	0.721	0.2	2.68458950132734e-156	tumor	ADI1
7.72439246981378e-33	3.56549299473131	0.112	0.003	1.42986229008723e-28	tumor	NUDT11
1.75251275881518e-41	3.54822146219274	0.153	0.007	3.24407636784277e-37	tumor	SPTSSB
6.70488992373139e-37	3.53763673292935	0.145	0.01	1.24114217378192e-32	tumor	CBR3
1.86351201696236e-137	3.53752303623404	0.577	0.097	3.44954709459902e-133	tumor	PCBD1
1.11417787001062e-196	3.53654291811391	0.862	0.335	2.06245465517666e-192	tumor	DCXR
5.61397203078183e-98	3.53328869011429	0.413	0.054	1.03920236261802e-93	tumor	SLC30A4
1.34585847440371e-71	3.52616290449157	0.256	0.013	2.4913186219687e-67	tumor	UNC13B
2.3414583008807e-46	3.51808943074736	0.274	0.06	4.33427346076027e-42	tumor	PEX10
4.05647421096903e-152	3.49757060781725	0.705	0.166	7.50893941192478e-148	tumor	PPDPF
1.08847307139211e-31	3.49071137597775	0.152	0.02	2.01487250245394e-27	tumor	NECAB3
6.02803703530697e-51	3.49047346838003	0.325	0.085	1.11584993560567e-46	tumor	NET1
2.9166538625521e-94	3.47797531665474	0.487	0.108	5.39901796497019e-90	tumor	BNIP3
3.87138183046784e-47	3.47012360241503	0.15	0.001	7.16631490637901e-43	tumor	RAC3
1.89537024161853e-25	3.46097846765079	0.106	0.01	3.50851985426006e-21	tumor	GLB1L2
2.84415631597671e-60	3.45727375039383	0.282	0.04	5.26481775650449e-56	tumor	CMBL
5.27528692733357e-08	3.45590560658476	0.135	0.071	0.000976508363118717	tumor	MIPOL1
4.70243736233681e-38	3.45455141398221	0.146	0.009	8.70468180142167e-34	tumor	NSUN7
4.40891770182991e-33	3.44072876890466	0.218	0.054	8.16134755785735e-29	tumor	MCRIP2
4.42050514769572e-99	3.42848889971929	0.482	0.097	8.18279707889955e-95	tumor	GGCT
5.42537454590756e-29	3.42656239575755	0.201	0.052	1.00429108219295e-24	tumor	DECR2
2.48191996039377e-66	3.40715583473783	0.322	0.049	4.59428203868492e-62	tumor	ZNF771
6.51877603837502e-44	3.4070505813065	0.321	0.091	1.2066906324636e-39	tumor	NFIX
2.36136495847699e-30	3.38737325404484	0.117	0.007	4.37112267463675e-26	tumor	PDE9A
1.95532788562317e-79	3.38382396237907	0.434	0.102	3.61950744907706e-75	tumor	SERF1B
2.95429392610363e-121	3.37966378000499	0.657	0.203	5.46869348661043e-117	tumor	PPA2
2.47519543964347e-152	3.37292975679642	0.754	0.267	4.58183427832402e-148	tumor	MPC2
8.05736349045983e-16	3.34907009244364	0.111	0.028	1.49149855571902e-11	tumor	ZC4H2
2.70500506968163e-60	3.34482776699387	0.219	0.011	5.00723488448766e-56	tumor	NAALADL2
1.18462169845297e-25	3.34316275609132	0.145	0.027	2.1928532260063e-21	tumor	EEF1AKMT4
3.86053266445941e-63	3.33230352810958	0.337	0.067	7.14623201518081e-59	tumor	ACY1
1.1128315028003e-59	3.31759526672681	0.299	0.05	2.05996239483363e-55	tumor	IFT22
1.10234872506714e-63	3.30946088276114	0.341	0.067	2.04055772497179e-59	tumor	BCAT2
1.27784592600972e-34	3.30686023416986	0.124	0.005	2.36542059363659e-30	tumor	COBL
7.66825045460718e-43	3.30498407933673	0.249	0.051	1.41946984165234e-38	tumor	TRIQK
1.2921257459586e-43	3.29725907414304	0.208	0.028	2.39185396834397e-39	tumor	CEP70
3.59794230298915e-36	3.29148801487943	0.16	0.018	6.66015099706322e-32	tumor	RASEF
3.91917524447674e-36	3.28615366250884	0.194	0.033	7.2547852950509e-32	tumor	PNPLA4
7.41887400761308e-79	3.28145060652332	0.328	0.034	1.37330776754926e-74	tumor	HOMER2
7.36887985259077e-72	3.28112365691167	0.234	0.004	1.36405334951308e-67	tumor	TFAP2C
1.94655547887763e-113	3.27973870601017	0.578	0.139	3.60326884695037e-109	tumor	MRPL24
6.91728362671949e-80	3.27949876317554	0.352	0.046	1.28045837214205e-75	tumor	PERP
7.87907322651508e-45	3.27402324918444	0.248	0.047	1.45849524496021e-40	tumor	PYCR3
3.92575376387387e-56	3.27010311946036	0.273	0.041	7.26696279230692e-52	tumor	KIAA1324
1.58102543295943e-56	3.24849560327086	0.221	0.017	2.92663617895119e-52	tumor	ARPIN
1.26219510974599e-41	3.24751982729001	0.157	0.009	2.3364493676508e-37	tumor	GUCY1B1
2.14208930144489e-49	3.23625250652084	0.221	0.025	3.96522150590464e-45	tumor	MAP9
7.24545523265276e-17	3.21061067522628	0.106	0.023	1.34120621811635e-12	tumor	ATP2C2
6.64574020865968e-41	3.20843902166043	0.164	0.013	1.23019297002499e-36	tumor	TUFT1
1.46247677773471e-54	3.19811636504677	0.17	0	2.70719076326472e-50	tumor	CT45A2
8.66087635751161e-46	3.19321139571931	0.157	0.004	1.60321482253897e-41	tumor	CGNL1
1.12944174285097e-59	3.18236777541171	0.201	0.005	2.09070961019144e-55	tumor	BMPR1B
4.83839180921317e-37	3.16481290709229	0.172	0.022	8.95634707803449e-33	tumor	EPB41L5
1.87560334690062e-40	3.13543554362192	0.153	0.009	3.47192935544773e-36	tumor	CNTNAP2
1.63197933884472e-37	3.11682766582414	0.213	0.041	3.02095695413545e-33	tumor	BPHL
8.17018508320946e-24	3.11513786691985	0.133	0.024	1.5123829607529e-19	tumor	EEF1AKMT3
1.90102552126288e-35	3.09145263631841	0.152	0.014	3.51898834240972e-31	tumor	NAP1L2
1.43545401039529e-43	3.08533716946744	0.165	0.01	2.65716891864271e-39	tumor	CLDN12
1.94016217721066e-30	3.07349029703116	0.205	0.052	3.59143420623465e-26	tumor	MTHFD2L
1.66952103769934e-38	3.06474101111083	0.264	0.068	3.09045039288525e-34	tumor	FAM234B
1.71975058758167e-13	3.05200417957593	0.104	0.029	3.18343031267244e-09	tumor	HIST1H2BJ
6.69164387776412e-32	3.0477643211408	0.117	0.006	1.23869019821292e-27	tumor	SIM2
1.16873723725733e-80	3.03681642848344	0.555	0.196	2.16344949988703e-76	tumor	HSD17B4
1.20466373543957e-22	3.01741554930173	0.12	0.019	2.2299530406722e-18	tumor	TMEM45B
7.6393771140966e-48	3.01514589822349	0.161	0.004	1.41412509759042e-43	tumor	RAP1GAP
1.93128445014435e-38	3.01442831623432	0.176	0.021	3.57500064566221e-34	tumor	STARD10
6.5379285352016e-34	3.01194073781786	0.176	0.028	1.21023595115117e-29	tumor	MORN2
