markers.gene	BCell	BCell@p_val_adj	DC	DC@p_val_adj	Endothelia	Endothelia@p_val_adj	Epithelia	Epithelia@p_val_adj	Fibroblast	Fibroblast@p_val_adj	Macrophage	Macrophage@p_val_adj	MastCell	MastCell@p_val_adj	Myofib	Myofib@p_val_adj	Neutrophil	Neutrophil@p_val_adj	pDC	pDC@p_val_adj	PlasmaCell	PlasmaCell@p_val_adj	TCell	TCell@p_val_adj
CD19	1.28151755083948	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BLK	1.26605156103574	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PAX5	1.24285523020781	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HLA-DQB1	1.22623167162038	0	1.72290211464812	0	NA	NA	NA	NA	NA	NA	1.06033453730767	0	NA	NA	NA	NA	NA	NA	0.521984747038998	1.48147292127962e-21	NA	NA	NA	NA
HLA-DMA	1.14983537388583	0	0.997744467572984	1.20900968374714e-296	NA	NA	NA	NA	NA	NA	1.05741298214692	0	NA	NA	NA	NA	NA	NA	0.678415781034413	3.401723125464e-29	NA	NA	NA	NA
HLA-DPB1	1.14317718015508	0	2.1543648245355	0	NA	NA	NA	NA	NA	NA	1.31357969549403	0	NA	NA	NA	NA	NA	NA	0.613213343452514	5.37153068762475e-37	NA	NA	NA	NA
SMIM14	1.11084504285715	0	NA	NA	NA	NA	0.59725749156507	9.10251745117261e-124	0.550313247460037	2.50544819529941e-92	NA	NA	NA	NA	NA	NA	NA	NA	0.547392990909665	3.5684313166254e-29	NA	NA	NA	NA
LAPTM5	1.09174451466782	0	NA	NA	NA	NA	NA	NA	NA	NA	0.296293938431383	1.0837690152139e-64	NA	NA	NA	NA	0.538540681128304	1.26247448102329e-44	NA	NA	NA	NA	NA	NA
BCL11A	1.06254539765255	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.796041190720426	7.200578628334e-42	NA	NA	NA	NA
FAM129C	1.0516270055108	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.997522917456814	2.93724330331076e-124	NA	NA	NA	NA
FCER2	1.04480738296036	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VPREB3	1.04331651802049	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
POU2F2	1.0424759079553	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HLA-DPA1	1.02304093974433	0	2.17289960509565	0	NA	NA	NA	NA	NA	NA	1.52144981165682	0	NA	NA	NA	NA	NA	NA	0.898417368027643	3.82236737378049e-51	NA	NA	NA	NA
IRF8	1.00667472601558	0	0.575047747963512	1.94281784015026e-149	NA	NA	NA	NA	NA	NA	0.417488883951552	2.93782220368126e-214	NA	NA	NA	NA	NA	NA	1.38033394216659	3.41580791083552e-104	NA	NA	NA	NA
ST6GAL1	0.990074294987436	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.377642511758109	3.22454909365851e-31	NA	NA
HLA-DMB	0.990001589494753	0	0.92543544229881	0	NA	NA	NA	NA	NA	NA	1.34623350268089	0	NA	NA	NA	NA	NA	NA	0.441206927823696	1.55950782412099e-15	NA	NA	NA	NA
HLA-DOA	0.962006910181118	0	0.596071274571701	3.15078341326094e-248	NA	NA	NA	NA	NA	NA	0.493342347659014	5.85607668289133e-290	NA	NA	NA	NA	NA	NA	0.271362207227203	2.90161046746033e-09	NA	NA	NA	NA
ADAM28	0.958129556231134	0	NA	NA	NA	NA	NA	NA	NA	NA	0.280504294680409	7.14180020839857e-190	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GRASP	0.947737102083544	0	0.785073685070976	1.7855549371074e-188	NA	NA	NA	NA	NA	NA	0.264868539713696	6.30795164457861e-108	0.250648862258774	5.74896259509997e-30	NA	NA	NA	NA	1.31718134748161	5.91653983062407e-90	NA	NA	NA	NA
LINC00926	0.941302784979294	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CD72	0.936843671137911	0	NA	NA	NA	NA	NA	NA	NA	NA	0.256502451959314	4.4824668662042e-156	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SWAP70	0.929401407711795	0	NA	NA	1.06624610189649	0	NA	NA	NA	NA	0.258790757240137	1.35150270396202e-131	0.539131852239499	1.63452142989262e-98	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PRDM2	0.901596080477341	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SPIB	0.900150784914037	0	0.956155749942085	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.6101273851602	7.61945807289086e-158	NA	NA	NA	NA
CYBB	0.899788457202118	0	0.337095114646967	5.06377222180723e-48	NA	NA	NA	NA	NA	NA	1.23624443619934	0	NA	NA	NA	NA	NA	NA	1.49029888769194	2.62779372431655e-162	NA	NA	NA	NA
CD79B	0.88309022252914	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PRDM4	0.879147695233385	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FCRL1	0.878707466079763	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EZR	0.877940922345568	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.708056620834322	1.24694781950513e-31	NA	NA	NA	NA
SYNGR2	0.876595774106797	0	0.771905728960124	4.46410701080304e-187	NA	NA	0.623009695562496	2.28843259055406e-99	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.579595999641887	1.2447537759414e-20	NA	NA	NA	NA
SEL1L3	0.86328897090632	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.831620603164953	1.31206100997658e-35	0.659832886971304	1.98159538572892e-55	NA	NA
TMEM156	0.84864382390502	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P2RX5	0.840567981418722	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MGAT5	0.840088471507137	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FCRLA	0.814336848069264	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CD24	0.810745333377627	0	NA	NA	NA	NA	0.460186252072583	1.25781172754792e-77	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TNFRSF13C	0.810550236029822	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
POU2AF1	0.808580629451072	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.903968602281823	2.86055256958893e-170	NA	NA
TCL1A	0.785519981551043	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.864004588543681	6.93087180827082e-42	NA	NA	NA	NA
KDM6B	0.773732260343816	0	0.258322373135629	2.2275220778103e-44	NA	NA	NA	NA	NA	NA	NA	NA	0.744640178257431	8.52261807656863e-125	NA	NA	0.834477561985113	1.83987372127956e-41	0.916717729431755	3.58362480278511e-36	NA	NA	NA	NA
CD55	0.768826961623229	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.59394277241345	4.8733653015132e-156	NA	NA	NA	NA	NA	NA
PLCG2	0.766558168649418	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LY86	0.746065498157068	0	0.464020431065629	2.13104859926498e-212	NA	NA	NA	NA	NA	NA	0.676517511623685	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GNG7	0.74174363990687	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.532613426524344	8.7699291295117e-33	0.336555074183211	1.496620484269e-39	NA	NA
NAPSB	0.740736767101039	0	1.55864874005404	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.4509571674259	2.84481941196757e-163	NA	NA	NA	NA
CD52	0.730504125820235	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.39917885804251	4.27338010676232e-34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CYBA	0.716519340939826	0	0.264710440007767	1.4051696060739e-44	NA	NA	NA	NA	NA	NA	0.557642535055226	3.11472306043018e-142	NA	NA	NA	NA	0.418472112746356	0.00578193614104805	0.929260951816285	5.18397431481767e-36	0.408976960194214	3.26435873239046e-13	NA	NA
WDFY4	0.715313561889449	0	0.834927368597638	5.307004599929e-237	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.550022395622749	2.77849128734819e-40	NA	NA	NA	NA
STAP1	0.691481770850082	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.561085227576892	4.81908563863481e-179	NA	NA	NA	NA	0.598926009687372	5.15909445044095e-25	0.517224749002013	3.04529771909037e-29	NA	NA
HLA-DOB	0.679745617817456	0	0.403305368229348	3.81514923499347e-194	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.342883484868969	1.03753194582788e-18	NA	NA
AFF3	0.650787757621988	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TNFRSF13B	0.612932502156414	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.339829840238326	4.63363179166086e-33	NA	NA
RPL13AP25	0.503792648011372	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RPS2P55	0.474692971654564	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IGKC	0.461414497203204	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.89311518940445	4.92569153158778e-67	NA	NA
RPS11	0.422524918472824	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.262811776968046	1.12024203730142e-09	NA	NA	NA	NA
RPS5	0.412034344155926	0	NA	NA	NA	NA	0.584956865207888	2.17358701221737e-111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RPS23P8	0.400365806969817	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RPL18AP3	0.382952061791932	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RPS2	0.349412066540702	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RPL8	0.349231810887448	0	NA	NA	NA	NA	1.00360479157869	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RPS8	0.294584065006151	0	NA	NA	NA	NA	0.352233326902754	2.13121951001081e-82	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EEF1A1	0.272451497369468	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NFKBID	0.922719659680943	1.3012045816395e-298	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.91676570975632	2.39236067688555e-211	NA	NA	0.407441205884143	1	0.289528620758828	5.61866837151191e-10	NA	NA	NA	NA
REL	0.644930878161916	7.47368343095709e-296	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.39037562296752	1.86054502425112e-45	NA	NA	NA	NA	0.566121612389586	6.24475037531209e-19	NA	NA	NA	NA
ZNF318	0.727067698083303	2.04400612589447e-293	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ORAI2	0.845645094300271	4.83672091530516e-285	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.483124837153781	0.140307166989877	NA	NA	NA	NA	NA	NA
PARP15	0.725413277144785	6.93809897750628e-280	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HERPUD1	0.70541916343	1.78990384269391e-266	0.321249858445213	1.4148637903667e-47	NA	NA	NA	NA	NA	NA	0.731844606176091	2.68548332144434e-132	NA	NA	NA	NA	NA	NA	1.65546763678723	6.96473852298237e-76	1.1196399706521	4.4587130000199e-57	NA	NA
RPL10P9	0.311961335113876	3.34094084444045e-266	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RPLP2	0.267151544041836	5.66553935317687e-259	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SNORD3A	0.908326942267232	1.60463536836622e-255	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RPL13AP5	0.254555625311694	5.81106082538833e-254	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RPL12	0.332346999705956	7.53482665437657e-248	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC246787.1	0.498492866660404	1.46044427157823e-246	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RPS9	0.312251152051041	6.0792141455186e-240	NA	NA	NA	NA	0.336068191132631	6.62448827941606e-54	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.347724448242353	2.89090327635694e-09	NA	NA	NA	NA
RPSA	0.359041323826647	1.76076835502101e-237	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC073861.1	0.264536405933362	2.18894781409753e-236	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DENND5B	0.539956370303366	3.88420726556535e-235	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FCGR2B	0.612076366742748	1.25543147450368e-232	0.390398839214533	6.94955734164444e-75	NA	NA	NA	NA	NA	NA	0.62601242581303	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NR4A2	0.648259072295679	1.79261808662989e-230	NA	NA	NA	NA	NA	NA	NA	NA	0.384236050739182	8.28479871846335e-57	NA	NA	NA	NA	NA	NA	0.64859043757554	4.46980707335121e-14	NA	NA	NA	NA
MARCH1	0.617496805283183	6.20627609429086e-229	NA	NA	NA	NA	NA	NA	NA	NA	0.384297892417786	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SNX2	0.761624286017658	2.95421281459216e-228	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NCF1C	0.622567693992629	5.19361150404817e-228	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.71355287225496	2.27578321875459e-237	0.352485617757778	2.13277820229794e-12	NA	NA	NA	NA
FAU	0.337625772695511	1.7288193873438e-227	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BASP1	0.534626486875443	4.52776673150688e-217	1.01138925031029	0	NA	NA	0.578227502717851	2.32245872020403e-138	NA	NA	0.621545350589667	1.41772558198596e-243	NA	NA	NA	NA	2.5752024693028	0	NA	NA	NA	NA	NA	NA
RPL18	0.264819043521596	1.34916819014525e-209	NA	NA	NA	NA	0.404648110096576	1.27024564641848e-66	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SYK	0.69253084458707	3.35393315072785e-207	0.367165384929841	1.3826720545677e-172	NA	NA	NA	NA	NA	NA	0.498272822810383	0	NA	NA	NA	NA	0.551554705582788	1.20205967826817e-06	0.658517266898827	6.53022633567731e-33	NA	NA	NA	NA
RBM38	0.640558641046681	1.11581278624763e-202	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.401826840048939	3.52906775645843e-11	NA	NA	NA	NA
FAM49A	0.663912901014556	6.83666564570586e-202	0.733119621402405	0	NA	NA	NA	NA	NA	NA	0.287701158321984	2.73312618637862e-153	NA	NA	NA	NA	NA	NA	0.282968928265323	0.000124110972656301	NA	NA	NA	NA
RPL39	0.335118053149846	3.58470454441081e-201	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC007969.1	0.316448656189438	9.50041176720992e-199	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC008038.1	0.388621304120004	8.07576401231616e-196	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RPL26	0.327471662381027	1.3822388890517e-193	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GGA2	0.696557204673252	2.08129856242064e-192	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RPS3A	0.26370389226228	6.50223965239178e-191	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CD40	0.641764518491725	3.27862092195586e-184	0.575876157198189	4.60659811245424e-117	NA	NA	NA	NA	NA	NA	0.351050051488553	2.7348394602184e-138	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TCF4	0.654941187358907	7.44798979204521e-181	NA	NA	1.45544712192329	0	NA	NA	0.760089571192319	5.14657908278551e-167	NA	NA	NA	NA	0.56887821481778	2.56427777043493e-112	NA	NA	1.43834497987071	1.65148213685127e-132	NA	NA	NA	NA
BIRC3	0.474264653224943	1.07409931156521e-177	0.863055985664512	9.25803248284047e-12	NA	NA	NA	NA	NA	NA	NA	NA	0.569069796705927	1.43157731351729e-64	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RPL34P18	0.285389652508617	2.42510263064222e-175	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CCR7	0.481633980514325	2.11350122651667e-174	0.523220462331685	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GRK3	0.602929955317651	1.15414802131598e-171	0.469644906307477	2.73092073495103e-159	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTMAP5	0.386206058132155	2.07985877915881e-165	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CMTM6	0.624628418336498	1.17895625729451e-164	0.470035561219637	5.2434752987734e-98	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.429738070275991	0.00045744982247133	NA	NA	NA	NA	NA	NA
AC016739.1	0.251199178894252	8.00783447115145e-163	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EEF1B2	0.360842480296286	1.18509222738214e-161	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC073111.5	0.519822585365384	1.41963236130583e-161	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC026403.1	0.337308559886462	2.92675783592954e-157	NA	NA	NA	NA	0.270246924261007	3.82130099799699e-18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.256307147953017	0.0524661669985561	NA	NA	NA	NA
DDX21	0.57453411383286	1.10570798345569e-156	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EBF1	0.48730436776881	8.56428981277271e-154	NA	NA	NA	NA	NA	NA	0.781712252980251	5.46009906925732e-279	NA	NA	NA	NA	1.15680708974138	0	NA	NA	NA	NA	NA	NA	NA	NA
STRBP	0.611255188334509	1.19910120820758e-152	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BACH2	0.537614614272529	4.67176355279775e-150	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CTSH	0.645699186571669	1.07124166736549e-147	1.20242111707496	0	NA	NA	NA	NA	NA	NA	0.996093408111919	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
INPP5D	0.598454931613132	2.30548668992965e-147	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TP53INP1	0.666177453568948	9.81030033684973e-145	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BTK	0.513904711470233	2.46477163912751e-144	NA	NA	NA	NA	NA	NA	NA	NA	0.254384180052912	2.12359524182914e-168	1.19775591822662	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EIF2AK3	0.556853233137931	1.08903965997414e-141	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TPD52	0.552629611759063	2.48824682123153e-140	NA	NA	NA	NA	0.54250104386029	8.11734524329616e-160	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.294462127768526	1.41347307284468e-35	NA	NA
